rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:3sK8wGT43QFpWrvNQsrQya","Bad Bunny","DtMF","Rimas Entertainment LLC.",1,1,33,"2727898"
2,"spotify:track:1rIKgCH4H52lrvDcz50hS8","Zara Larsson","Lush Life","Epic/Record Company TEN",2,4,31,"2123183"
3,"spotify:track:1IHWl5LamUGEuP4ozKQSXZ","Bad Bunny","Tití Me Preguntó","Rimas Entertainment LLC",3,14,2,"1933952"
4,"spotify:track:53iuhJlwXhSER5J2IYYv1W","Taylor Swift","The Fate of Ophelia","Taylor Swift",1,5,20,"1795306"
5,"spotify:track:5TFD2bmFKGhoCRbX61nXY5","Bad Bunny","NUEVAYoL","Rimas Entertainment LLC.",2,2,11,"1784591"
6,"spotify:track:3qhlB30KknSejmIvZZLjOD","Djo","End of Beginning","Djo",1,7,76,"1758020"
7,"spotify:track:55lijDD6OAjLFFUHU9tcDm","RAYE","WHERE IS MY HUSBAND!","Human Re Sources",3,9,22,"1724431"
8,"spotify:track:6790Rqyau5Ol6mxj2UbTP3","Breitner","Baby Bell","Summerfield Records",8,19,8,"1639076"
9,"spotify:track:4gAYiVZJiAO72GclV4CHGz","LACAZETTE, Gzuz","UZI","LACAZETTE",9,-1,1,"1636192"
10,"spotify:track:3oTuTpF1F3A7rEC6RKsMRz","Dave, Tems","Raindance (feat. Tems)","Neighbourhood",5,10,12,"1610565"
11,"spotify:track:3uKAPZDXq6yE8Zqfhjbpp6","AYLIVA","Renn!","Whiteheart Records/Warner Music Central Europe",1,3,3,"1606492"
12,"spotify:track:7zirvOKv5Yi0WsXuq8f7xi","benno!","LOVE U ANYWAY","Epic/do them proud",1,8,4,"1552210"
13,"spotify:track:1bPPGrKv9D6z4RSwYm76QY","Mätropolis, Dj Aaron","Rakete - Party Edit","Electrola",13,29,7,"1520911"
14,"spotify:track:1lIKCHfDSK5NRXtCatnsrx","Druckluft","Karnevalsmaus","Ariola Local",14,27,3,"1517678"
15,"spotify:track:51tf2J1gGNLG0IIvLquE64","Oimara","Wackelkontakt","stereopolrecords / ZEITGEIST for Intercord Records",1,18,57,"1497530"
16,"spotify:track:6ogNEis5cmjtWmhTfb85aI","GroßstadtEngel","Gute Laune","Bambi Records",16,33,4,"1470082"
17,"spotify:track:5InwXfb7WnudjoHEdmRLVy","MERO, Aymen","Nur Mailbox","URBAN",17,-1,1,"1412624"
18,"spotify:track:2lTm559tuIvatlT1u0JYG2","Bad Bunny","BAILE INoLVIDABLE","Rimas Entertainment LLC.",6,6,7,"1401524"
19,"spotify:track:1CPZ5BxNNd0n0nF4Orb9JS","HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast","Golden","K-Pop Demon Hunters",1,13,35,"1384969"
20,"spotify:track:7AAcQMV6Uw3YXt9TTx4b6r","Querbeat","Nie mehr Fastelovend","Rhingtön",10,31,13,"1302976"
21,"spotify:track:2RkZ5LkEzeHGRsmDqKwmaJ","Alex Warren","Ordinary","Atlantic Records",2,11,54,"1282643"
22,"spotify:track:1KoBWUdvepu0vL98o8mSTN","AK AUSSERKONTROLLE, Pashanim","BLN","XY Records",22,-1,1,"1276276"
23,"spotify:track:4C6gWZhTWB1WrBWmhNax48","Druckluft, Nancy Franck","Karnevalsmaus (Partyversion)","Xtreme Sound Recordings",23,53,2,"1192078"
24,"spotify:track:6J5kc12BW5HuP3d7C3vvx8","Bad Bunny","EoO","Rimas Entertainment LLC.",12,12,2,"1187422"
25,"spotify:track:1prNhzt3DdgRoxKoALTEYo","Zartmann","tau mich auf","Bamboo Artists/Epic",1,16,54,"1166982"
26,"spotify:track:003vvx7Niy0yvhvHt4a68B","The Killers","Mr. Brightside","Island Records",10,26,139,"1162839"
27,"spotify:track:5nEdwtSv0qqeE0l4o1lR4q","Sean Paul, Keyshia Cole","(When You Gonna) Give It Up to Me - Radio Version","VP Records",16,20,7,"1155823"
28,"spotify:track:1qbmS6ep2hbBRaEZFpn7BX","Olivia Dean","Man I Need","PLG - Capitol",10,15,25,"1113908"
29,"spotify:track:7Ifj0WCBgX5uisabg3GkDm","Querbeat","Guten Morgen Barbarossaplatz","Rhingtön",27,58,7,"1112326"
30,"spotify:track:7qjZnBKE73H4Oxkopwulqe","sombr","back to friends","Warner Records",4,21,48,"1106962"
31,"spotify:track:1xS7XV1k4Q2YRldPsPswdf","Mickie Krause, Lorenz Büffel, Kings of Günter, Immer Hansi","Baila Baila","Xtreme Sound Recordings",31,50,7,"1085739"
32,"spotify:track:3cZajhyr8LmtPfHZ9296tj","Disco Lines, Tinashe","No Broke Boys","Nice Life/Atlantic",4,22,32,"1082648"
33,"spotify:track:7yNf9YjeO5JXUE3JEBgnYc","Dominic Fike","Babydoll","Columbia",33,59,3,"1077046"
34,"spotify:track:3VIEbpdr64a1mNSa8MqBAm","Fäaschtbänkler","ALL IN (Lieblingslieder)","Rosenklang",21,43,49,"1031679"
35,"spotify:track:6YFNhYf7A33biVmMG1JSQf","Jazeek","AKON","NINETYNINE MUSIC x Good Kid Records x Ventura Records",1,24,47,"1030119"
36,"spotify:track:05od2qm2MTSKCHxy1GBp5W","sombr","12 to 12","Warner Records",9,28,30,"993303"
37,"spotify:track:3DQ4U7YOBorXDyaGraMBE7","Brings","Kölsche Jung - Party Edit","Electrola",37,64,12,"966258"
